Time@[Altitude (Baro-Ft-AGL)],[Altitude (Baro-Ft-AGL)],bILBA,Time@[Velocity (Accel-Ft/Sec)],[Velocity (Accel-Ft/Sec)],bILBA
,,16.2313,-1.#QNAN,b1111
,,16.2337,-1.#QNAN,b1111
,,16.2362,-1.#QNAN,b1111
,,16.2388,-1.#QNAN,b1111
,,16.2412,-1.#QNAN,b1111
,,16.2437,-1.#QNAN,b1111
,,16.2463,-1.#QNAN,b1111
,,16.2488,-1.#QNAN,b1111
,,16.2512,-1.#QNAN,b1111
,,16.2537,-1.#QNAN,b1111
,,16.2563,-1.#QNAN,b1111
,,16.2588,-1.#QNAN,b1111
,,16.2612,-1.#QNAN,b1111
,,16.2638,-1.#QNAN,b1111
,,16.2663,-1.#QNAN,b1111
,,16.2687,-1.#QNAN,b1111
,,16.2712,-1.#QNAN,b1111
,,16.2738,-1.#QNAN,b1111
,,16.2763,-1.#QNAN,b1111
,,16.2787,-1.#QNAN,b1111
,,16.2813,-1.#QNAN,b1111
,,16.2838,-1.#QNAN,b1111
,,16.2862,-1.#QNAN,b1111
,,16.2887,-1.#QNAN,b1111
,,16.2913,-1.#QNAN,b1111
,,16.2938,-1.#QNAN,b1111
,,16.2962,-1.#QNAN,b1111
,,16.2987,-1.#QNAN,b1111
,,16.3013,-1.#QNAN,b1111
,,16.3037,-1.#QNAN,b1111
,,16.3062,-1.#QNAN,b1111
,,16.3088,-1.#QNAN,b1111
,,16.3113,-1.#QNAN,b1111
,,16.3137,-1.#QNAN,b1111
,,16.3162,-1.#QNAN,b1111
,,16.3188,-1.#QNAN,b1111
,,16.3213,-1.#QNAN,b1111
,,16.3237,-1.#QNAN,b1111
,,16.3263,-1.#QNAN,b1111
,,16.3288,-1.#QNAN,b1111
,,16.3312,-1.#QNAN,b1111
,,16.3337,-1.#QNAN,b1111
,,16.3363,-1.#QNAN,b1111
,,16.3388,-1.#QNAN,b1111
,,16.3412,-1.#QNAN,b1111
,,16.3438,-1.#QNAN,b1111
,,16.3463,-1.#QNAN,b1111
,,16.3487,-1.#QNAN,b1111
,,16.3512,-1.#QNAN,b1111
,,16.3538,-1.#QNAN,b1111
,,16.3563,-1.#QNAN,b1111
,,16.3587,-1.#QNAN,b1111
,,16.3612,-1.#QNAN,b1111
,,16.3638,-1.#QNAN,b1111
,,16.3662,-1.#QNAN,b1111
,,16.3687,-1.#QNAN,b1111
,,16.3713,-1.#QNAN,b1111
,,16.3738,-1.#QNAN,b1111
,,16.3762,-1.#QNAN,b1111
,,16.3787,-1.#QNAN,b1111
,,16.3813,-1.#QNAN,b1111
,,16.3838,-1.#QNAN,b1111
,,16.3862,-1.#QNAN,b1111
,,16.3888,-1.#QNAN,b1111
,,16.3913,-1.#QNAN,b1111
,,16.3937,-1.#QNAN,b1111
,,16.3962,-1.#QNAN,b1111
,,16.3988,-1.#QNAN,b1111
,,16.4013,-1.#QNAN,b1111
,,16.4037,-1.#QNAN,b1111
,,16.4063,-1.#QNAN,b1111
,,16.4088,-1.#QNAN,b1111
,,16.4112,-1.#QNAN,b1111
,,16.4137,-1.#QNAN,b1111
,,16.4163,-1.#QNAN,b1111
,,16.4188,-1.#QNAN,b1111
,,16.4212,-1.#QNAN,b1111
,,16.4237,-1.#QNAN,b1111
,,16.4263,-1.#QNAN,b1111
,,16.4287,-1.#QNAN,b1111
,,16.4312,-1.#QNAN,b1111
,,16.4338,-1.#QNAN,b1111
,,16.4363,-1.#QNAN,b1111
,,16.4387,-1.#QNAN,b1111
,,16.4412,-1.#QNAN,b1111
,,16.4438,-1.#QNAN,b1111
,,16.4463,-1.#QNAN,b1111
,,16.4487,-1.#QNAN,b1111
,,16.4513,-1.#QNAN,b1111
,,16.4538,-1.#QNAN,b1111
,,16.4562,-1.#QNAN,b1111
,,16.4587,-1.#QNAN,b1111
,,16.4613,-1.#QNAN,b1111
,,16.4638,-1.#QNAN,b1111
,,16.4662,-1.#QNAN,b1111
,,16.4688,-1.#QNAN,b1111
,,16.4713,-1.#QNAN,b1111
,,16.4737,-1.#QNAN,b1111
,,16.4762,-1.#QNAN,b1111
,,16.4788,-1.#QNAN,b1111
,,16.4813,-1.#QNAN,b1111
,,16.4837,-1.#QNAN,b1111
,,16.4862,-1.#QNAN,b1111
,,16.4888,-1.#QNAN,b1111
,,16.4912,-1.#QNAN,b1111
,,16.4937,-1.#QNAN,b1111
,,16.4963,-1.#QNAN,b1111
,,16.4988,-1.#QNAN,b1111
,,16.5012,-1.#QNAN,b1111
,,16.5037,-1.#QNAN,b1111
,,16.5063,-1.#QNAN,b1111
,,16.5088,-1.#QNAN,b1111
,,16.5112,-1.#QNAN,b1111
,,16.5138,-1.#QNAN,b1111
,,16.5163,-1.#QNAN,b1111
,,16.5187,-1.#QNAN,b1111
,,16.5212,-1.#QNAN,b1111
,,16.5238,-1.#QNAN,b1111
,,16.5263,-1.#QNAN,b1111
,,16.5287,-1.#QNAN,b1111
,,16.5313,-1.#QNAN,b1111
,,16.5338,-1.#QNAN,b1111
,,16.5362,-1.#QNAN,b1111
,,16.5387,-1.#QNAN,b1111
,,16.5413,-1.#QNAN,b1111
,,16.5438,-1.#QNAN,b1111
,,16.5462,-1.#QNAN,b1111
,,16.5487,-1.#QNAN,b1111
,,16.5513,-1.#QNAN,b1111
,,16.5537,-1.#QNAN,b1111
,,16.5562,-1.#QNAN,b1111
,,16.5588,-1.#QNAN,b1111
,,16.5613,-1.#QNAN,b1111
,,16.5637,-1.#QNAN,b1111
,,16.5662,-1.#QNAN,b1111
,,16.5688,-1.#QNAN,b1111
,,16.5713,-1.#QNAN,b1111
,,16.5737,-1.#QNAN,b1111
,,16.5763,-1.#QNAN,b1111
,,16.5788,-1.#QNAN,b1111
,,16.5812,-1.#QNAN,b1111
,,16.5837,-1.#QNAN,b1111
,,16.5863,-1.#QNAN,b1111
,,16.5888,-1.#QNAN,b1111
,,16.5912,-1.#QNAN,b1111
,,16.5938,-1.#QNAN,b1111
,,16.5963,-1.#QNAN,b1111
,,16.5987,-1.#QNAN,b1111
,,16.6012,-1.#QNAN,b1111
,,16.6038,-1.#QNAN,b1111
,,16.6063,-1.#QNAN,b1111
,,16.6087,-1.#QNAN,b1111
,,16.6112,-1.#QNAN,b1111
,,16.6138,-1.#QNAN,b1111
,,16.6162,-1.#QNAN,b1111
,,16.6187,-1.#QNAN,b1111
,,16.6213,-1.#QNAN,b1111
,,16.6238,-1.#QNAN,b1111
,,16.6262,-1.#QNAN,b1111
,,16.6287,-1.#QNAN,b1111
,,16.6313,-1.#QNAN,b1111
,,16.6338,-1.#QNAN,b1111
,,16.6362,-1.#QNAN,b1111
,,16.6388,-1.#QNAN,b1111
,,16.6413,-1.#QNAN,b1111
,,16.6437,-1.#QNAN,b1111
,,16.6462,-1.#QNAN,b1111
,,16.6488,-1.#QNAN,b1111
,,16.6513,-1.#QNAN,b1111
,,16.6537,-1.#QNAN,b1111
,,16.6563,-1.#QNAN,b1111
,,16.6588,-1.#QNAN,b1111
,,16.6612,-1.#QNAN,b1111
,,16.6637,-1.#QNAN,b1111
,,16.6663,-1.#QNAN,b1111
,,16.6688,-1.#QNAN,b1111
,,16.6712,-1.#QNAN,b1111
,,16.6737,-1.#QNAN,b1111
,,16.6763,-1.#QNAN,b1111
,,16.6787,-1.#QNAN,b1111
,,16.6812,-1.#QNAN,b1111
,,16.6838,-1.#QNAN,b1111
,,16.6863,-1.#QNAN,b1111
,,16.6887,-1.#QNAN,b1111
,,16.6912,-1.#QNAN,b1111
,,16.6938,-1.#QNAN,b1111
,,16.6963,-1.#QNAN,b1111
,,16.6987,-1.#QNAN,b1111
,,16.7013,-1.#QNAN,b1111
,,16.7038,-1.#QNAN,b1111
,,16.7062,-1.#QNAN,b1111
,,16.7087,-1.#QNAN,b1111
,,16.7113,-1.#QNAN,b1111
,,16.7138,-1.#QNAN,b1111
,,16.7162,-1.#QNAN,b1111
,,16.7188,-1.#QNAN,b1111
,,16.7213,-1.#QNAN,b1111
,,16.7237,-1.#QNAN,b1111
,,16.7262,-1.#QNAN,b1111
,,16.7288,-1.#QNAN,b1111
,,16.7313,-1.#QNAN,b1111
,,16.7337,-1.#QNAN,b1111
,,16.7362,-1.#QNAN,b1111
,,16.7388,-1.#QNAN,b1111
,,16.7412,-1.#QNAN,b1111
,,16.7437,-1.#QNAN,b1111
,,16.7463,-1.#QNAN,b1111
,,16.7488,-1.#QNAN,b1111
,,16.7512,-1.#QNAN,b1111
,,16.7537,-1.#QNAN,b1111
,,16.7563,-1.#QNAN,b1111
,,16.7588,-1.#QNAN,b1111
,,16.7612,-1.#QNAN,b1111
,,16.7638,-1.#QNAN,b1111
,,16.7663,-1.#QNAN,b1111
,,16.7687,-1.#QNAN,b1111
,,16.7712,-1.#QNAN,b1111
,,16.7738,-1.#QNAN,b1111
,,16.7763,-1.#QNAN,b1111
,,16.7787,-1.#QNAN,b1111
,,16.7813,-1.#QNAN,b1111
,,16.7838,-1.#QNAN,b1111
,,16.7862,-1.#QNAN,b1111
,,16.7887,-1.#QNAN,b1111
,,16.7913,-1.#QNAN,b1111
,,16.7938,-1.#QNAN,b1111
,,16.7962,-1.#QNAN,b1111
,,16.7987,-1.#QNAN,b1111
,,16.8013,-1.#QNAN,b1111
,,16.8037,-1.#QNAN,b1111
,,16.8062,-1.#QNAN,b1111
,,16.8088,-1.#QNAN,b1111
,,16.8113,-1.#QNAN,b1111
,,16.8137,-1.#QNAN,b1111
,,16.8162,-1.#QNAN,b1111
,,16.8188,-1.#QNAN,b1111
,,16.8213,-1.#QNAN,b1111
,,16.8237,-1.#QNAN,b1111
,,16.8263,-1.#QNAN,b1111
,,16.8288,-1.#QNAN,b1111
,,16.8312,-1.#QNAN,b1111
,,16.8337,-1.#QNAN,b1111
,,16.8363,-1.#QNAN,b1111
,,16.8388,-1.#QNAN,b1111
,,16.8412,-1.#QNAN,b1111
,,16.8438,-1.#QNAN,b1111
,,16.8463,-1.#QNAN,b1111
,,16.8487,-1.#QNAN,b1111
,,16.8512,-1.#QNAN,b1111
,,16.8538,-1.#QNAN,b1111
,,16.8563,-1.#QNAN,b1111
,,16.8587,-1.#QNAN,b1111
,,16.8612,-1.#QNAN,b1111
,,16.8638,-1.#QNAN,b1111
,,16.8662,-1.#QNAN,b1111
,,16.8687,-1.#QNAN,b1111
,,16.8713,-1.#QNAN,b1111
,,16.8738,-1.#QNAN,b1111
,,16.8762,-1.#QNAN,b1111
,,16.8787,-1.#QNAN,b1111
,,16.8813,-1.#QNAN,b1111
,,16.8838,-1.#QNAN,b1111
,,16.8862,-1.#QNAN,b1111
,,16.8888,-1.#QNAN,b1111
,,16.8913,-1.#QNAN,b1111
,,16.8937,-1.#QNAN,b1111
,,16.8962,-1.#QNAN,b1111
,,16.8988,-1.#QNAN,b1111
,,16.9013,-1.#QNAN,b1111
,,16.9037,-1.#QNAN,b1111
,,16.9063,-1.#QNAN,b1111
,,16.9088,-1.#QNAN,b1111
,,16.9112,-1.#QNAN,b1111
,,16.9137,-1.#QNAN,b1111
,,16.9163,-1.#QNAN,b1111
,,16.9188,-1.#QNAN,b1111
,,16.9212,-1.#QNAN,b1111
,,16.9237,-1.#QNAN,b1111
,,16.9263,-1.#QNAN,b1111
,,16.9287,-1.#QNAN,b1111
,,16.9312,-1.#QNAN,b1111
,,16.9338,-1.#QNAN,b1111
,,16.9363,-1.#QNAN,b1111
,,16.9387,-1.#QNAN,b1111
,,16.9412,-1.#QNAN,b1111
,,16.9438,-1.#QNAN,b1111
,,16.9463,-1.#QNAN,b1111
,,16.9487,-1.#QNAN,b1111
,,16.9513,-1.#QNAN,b1111
,,16.9538,-1.#QNAN,b1111
,,16.9562,-1.#QNAN,b1111
,,16.9587,-1.#QNAN,b1111
,,16.9613,-1.#QNAN,b1111
,,16.9638,-1.#QNAN,b1111
,,16.9662,-1.#QNAN,b1111
,,16.9688,-1.#QNAN,b1111
,,16.9713,-1.#QNAN,b1111
,,16.9737,-1.#QNAN,b1111
,,16.9762,-1.#QNAN,b1111
,,16.9788,-1.#QNAN,b1111
,,16.9813,-1.#QNAN,b1111
,,16.9837,-1.#QNAN,b1111
,,16.9862,-1.#QNAN,b1111
,,16.9888,-1.#QNAN,b1111
,,16.9912,-1.#QNAN,b1111
,,16.9937,-1.#QNAN,b1111
,,16.9963,-1.#QNAN,b1111
,,16.9988,-1.#QNAN,b1111
,,17.0012,-1.#QNAN,b1111
,,17.0037,-1.#QNAN,b1111
,,17.0063,-1.#QNAN,b1111
,,17.0088,-1.#QNAN,b1111
,,17.0112,-1.#QNAN,b1111
,,17.0138,-1.#QNAN,b1111
,,17.0163,-1.#QNAN,b1111
,,17.0187,-1.#QNAN,b1111
,,17.0212,-1.#QNAN,b1111
,,17.0238,-1.#QNAN,b1111
,,17.0263,-1.#QNAN,b1111
,,17.0287,-1.#QNAN,b1111
,,17.0313,-1.#QNAN,b1111
,,17.0338,-1.#QNAN,b1111
,,17.0362,-1.#QNAN,b1111
,,17.0387,-1.#QNAN,b1111
,,17.0413,-1.#QNAN,b1111
,,17.0438,-1.#QNAN,b1111
,,17.0462,-1.#QNAN,b1111
,,17.0487,-1.#QNAN,b1111
,,17.0513,-1.#QNAN,b1111
,,17.0537,-1.#QNAN,b1111
,,17.0562,-1.#QNAN,b1111
,,17.0588,-1.#QNAN,b1111
,,17.0613,-1.#QNAN,b1111
,,17.0637,-1.#QNAN,b1111
,,17.0662,-1.#QNAN,b1111
,,17.0688,-1.#QNAN,b1111
,,17.0713,-1.#QNAN,b1111
,,17.0737,-1.#QNAN,b1111
,,17.0763,-1.#QNAN,b1111
,,17.0788,-1.#QNAN,b1111
,,17.0812,-1.#QNAN,b1111
,,17.0837,-1.#QNAN,b1111
,,17.0863,-1.#QNAN,b1111
,,17.0888,-1.#QNAN,b1111
,,17.0912,-1.#QNAN,b1111
,,17.0938,-1.#QNAN,b1111
,,17.0963,-1.#QNAN,b1111
,,17.0987,-1.#QNAN,b1111
,,17.1012,-1.#QNAN,b1111
,,17.1038,-1.#QNAN,b1111
,,17.1063,-1.#QNAN,b1111
,,17.1087,-1.#QNAN,b1111
,,17.1112,-1.#QNAN,b1111
,,17.1138,-1.#QNAN,b1111
,,17.1162,-1.#QNAN,b1111
,,17.1187,-1.#QNAN,b1111
,,17.1213,-1.#QNAN,b1111
,,17.1238,-1.#QNAN,b1111
,,17.1262,-1.#QNAN,b1111
,,17.1287,-1.#QNAN,b1111
,,17.1313,-1.#QNAN,b1111
,,17.1338,-1.#QNAN,b1111
,,17.1362,-1.#QNAN,b1111
,,17.1388,-1.#QNAN,b1111
,,17.1413,-1.#QNAN,b1111
,,17.1437,-1.#QNAN,b1111
,,17.1462,-1.#QNAN,b1111
,,17.1488,-1.#QNAN,b1111
,,17.1513,-1.#QNAN,b1111
,,17.1537,-1.#QNAN,b1111
,,17.1563,-1.#QNAN,b1111
,,17.1588,-1.#QNAN,b1111
,,17.1612,-1.#QNAN,b1111
,,17.1637,-1.#QNAN,b1111
,,17.1663,-1.#QNAN,b1111
,,17.1688,-1.#QNAN,b1111
,,17.1712,-1.#QNAN,b1111
,,17.1737,-1.#QNAN,b1111
,,17.1763,-1.#QNAN,b1111
,,17.1787,-1.#QNAN,b1111
,,17.1812,-1.#QNAN,b1111
,,17.1838,-1.#QNAN,b1111
,,17.1863,-1.#QNAN,b1111
,,17.1887,-1.#QNAN,b1111
,,17.1912,-1.#QNAN,b1111
,,17.1938,-1.#QNAN,b1111
,,17.1963,-1.#QNAN,b1111
,,17.1987,-1.#QNAN,b1111
,,17.2013,-1.#QNAN,b1111
,,17.2038,-1.#QNAN,b1111
,,17.2062,-1.#QNAN,b1111
,,17.2087,-1.#QNAN,b1111
,,17.2113,-1.#QNAN,b1111
,,17.2138,-1.#QNAN,b1111
,,17.2162,-1.#QNAN,b1111
,,17.2188,-1.#QNAN,b1111
,,17.2213,-1.#QNAN,b1111
,,17.2237,-1.#QNAN,b1111
,,17.2262,-1.#QNAN,b1111
,,17.2288,-1.#QNAN,b1111
,,17.2313,-1.#QNAN,b1111
,,17.2337,-1.#QNAN,b1111
,,17.2362,-1.#QNAN,b1111
,,17.2388,-1.#QNAN,b1111
,,17.2412,-1.#QNAN,b1111
,,17.2437,-1.#QNAN,b1111
,,17.2463,-1.#QNAN,b1111
,,17.2488,-1.#QNAN,b1111
,,17.2512,-1.#QNAN,b1111
,,17.2537,-1.#QNAN,b1111
,,17.2563,-1.#QNAN,b1111
,,17.2588,-1.#QNAN,b1111
,,17.2612,-1.#QNAN,b1111
,,17.2638,-1.#QNAN,b1111
,,17.2663,-1.#QNAN,b1111
,,17.2687,-1.#QNAN,b1111
,,17.2712,-1.#QNAN,b1111
,,17.2738,-1.#QNAN,b1111
,,17.2763,-1.#QNAN,b1111
,,17.2787,-1.#QNAN,b1111
,,17.2813,-1.#QNAN,b1111
,,17.2838,-1.#QNAN,b1111
,,17.2862,-1.#QNAN,b1111
,,17.2887,-1.#QNAN,b1111
,,17.2913,-1.#QNAN,b1111
,,17.2938,-1.#QNAN,b1111
,,17.2962,-1.#QNAN,b1111
,,17.2987,-1.#QNAN,b1111
,,17.3013,-1.#QNAN,b1111
,,17.3037,-1.#QNAN,b1111
,,17.3062,-1.#QNAN,b1111
,,17.3088,-1.#QNAN,b1111
,,17.3113,-1.#QNAN,b1111
,,17.3137,-1.#QNAN,b1111
,,17.3162,-1.#QNAN,b1111
,,17.3188,-1.#QNAN,b1111
,,17.3213,-1.#QNAN,b1111
,,17.3237,-1.#QNAN,b1111
,,17.3263,-1.#QNAN,b1111
,,17.3288,-1.#QNAN,b1111
,,17.3312,-1.#QNAN,b1111
,,17.3337,-1.#QNAN,b1111
,,17.3363,-1.#QNAN,b1111
,,17.3388,-1.#QNAN,b1111
,,17.3412,-1.#QNAN,b1111
,,17.3438,-1.#QNAN,b1111
,,17.3463,-1.#QNAN,b1111
,,17.3487,-1.#QNAN,b1111
,,17.3512,-1.#QNAN,b1111
,,17.3538,-1.#QNAN,b1111
,,17.3563,-1.#QNAN,b1111
,,17.3587,-1.#QNAN,b1111
,,17.3612,-1.#QNAN,b1111
,,17.3638,-1.#QNAN,b1111
,,17.3662,-1.#QNAN,b1111
,,17.3687,-1.#QNAN,b1111
,,17.3713,-1.#QNAN,b1111
,,17.3738,-1.#QNAN,b1111
,,17.3762,-1.#QNAN,b1111
,,17.3787,-1.#QNAN,b1111
,,17.3813,-1.#QNAN,b1111
,,17.3838,-1.#QNAN,b1111
,,17.3862,-1.#QNAN,b1111
,,17.3888,-1.#QNAN,b1111
,,17.3913,-1.#QNAN,b1111
,,17.3937,-1.#QNAN,b1111
,,17.3962,-1.#QNAN,b1111
,,17.3988,-1.#QNAN,b1111
,,17.4013,-1.#QNAN,b1111
,,17.4037,-1.#QNAN,b1111
,,17.4063,-1.#QNAN,b1111
,,17.4088,-1.#QNAN,b1111
,,17.4112,-1.#QNAN,b1111
,,17.4137,-1.#QNAN,b1111
,,17.4163,-1.#QNAN,b1111
,,17.4188,-1.#QNAN,b1111
,,17.4212,-1.#QNAN,b1111
,,17.4237,-1.#QNAN,b1111
,,17.4263,-1.#QNAN,b1111
,,17.4287,-1.#QNAN,b1111
,,17.4312,-1.#QNAN,b1111
,,17.4338,-1.#QNAN,b1111
,,17.4363,-1.#QNAN,b1111
,,17.4387,-1.#QNAN,b1111
,,17.4412,-1.#QNAN,b1111
,,17.4438,-1.#QNAN,b1111
,,17.4463,-1.#QNAN,b1111
,,17.4487,-1.#QNAN,b1111
,,17.4513,-1.#QNAN,b1111
,,17.4538,-1.#QNAN,b1111
,,17.4562,-1.#QNAN,b1111
,,17.4587,-1.#QNAN,b1111
,,17.4613,-1.#QNAN,b1111
,,17.4638,-1.#QNAN,b1111
,,17.4662,-1.#QNAN,b1111
,,17.4688,-1.#QNAN,b1111
,,17.4713,-1.#QNAN,b1111
,,17.4737,-1.#QNAN,b1111
,,17.4762,-1.#QNAN,b1111
,,17.4788,-1.#QNAN,b1111
,,17.4813,-1.#QNAN,b1111
,,17.4837,-1.#QNAN,b1111
,,17.4862,-1.#QNAN,b1111
,,17.4888,-1.#QNAN,b1111
,,17.4912,-1.#QNAN,b1111
,,17.4937,-1.#QNAN,b1111
,,17.4963,-1.#QNAN,b1111
,,17.4988,-1.#QNAN,b1111
,,17.5012,-1.#QNAN,b1111
,,17.5037,-1.#QNAN,b1111
,,17.5063,-1.#QNAN,b1111
,,17.5088,-1.#QNAN,b1111
,,17.5112,-1.#QNAN,b1111
,,17.5138,-1.#QNAN,b1111
,,17.5163,-1.#QNAN,b1111
,,17.5187,-1.#QNAN,b1111
,,17.5212,-1.#QNAN,b1111
,,17.5238,-1.#QNAN,b1111
,,17.5263,-1.#QNAN,b1111
,,17.5287,-1.#QNAN,b1111
,,17.5313,-1.#QNAN,b1111
,,17.5338,-1.#QNAN,b1111
,,17.5362,-1.#QNAN,b1111
,,17.5387,-1.#QNAN,b1111
,,17.5413,-1.#QNAN,b1111
,,17.5438,-1.#QNAN,b1111
,,17.5462,-1.#QNAN,b1111
,,17.5487,-1.#QNAN,b1111
,,17.5513,-1.#QNAN,b1111
,,17.5537,-1.#QNAN,b1111
,,17.5562,-1.#QNAN,b1111
,,17.5588,-1.#QNAN,b1111
,,17.5613,-1.#QNAN,b1111
,,17.5637,-1.#QNAN,b1111
,,17.5662,-1.#QNAN,b1111
,,17.5688,-1.#QNAN,b1111
,,17.5713,-1.#QNAN,b1111
,,17.5737,-1.#QNAN,b1111
,,17.5763,-1.#QNAN,b1111
,,17.5788,-1.#QNAN,b1111
,,17.5812,-1.#QNAN,b1111
,,17.5837,-1.#QNAN,b1111
,,17.5863,-1.#QNAN,b1111
,,17.5888,-1.#QNAN,b1111
,,17.5912,-1.#QNAN,b1111
,,17.5938,-1.#QNAN,b1111
,,17.5963,-1.#QNAN,b1111
,,17.5987,-1.#QNAN,b1111
,,17.6012,-1.#QNAN,b1111
,,17.6038,-1.#QNAN,b1111
,,17.6063,-1.#QNAN,b1111
,,17.6087,-1.#QNAN,b1111
,,17.6112,-1.#QNAN,b1111
,,17.6138,-1.#QNAN,b1111
,,17.6162,-1.#QNAN,b1111
,,17.6187,-1.#QNAN,b1111
,,17.6213,-1.#QNAN,b1111
,,17.6238,-1.#QNAN,b1111
,,17.6262,-1.#QNAN,b1111
,,17.6287,-1.#QNAN,b1111
,,17.6313,-1.#QNAN,b1111
,,17.6338,-1.#QNAN,b1111
,,17.6362,-1.#QNAN,b1111
,,17.6388,-1.#QNAN,b1111
,,17.6413,-1.#QNAN,b1111
,,17.6437,-1.#QNAN,b1111
,,17.6462,-1.#QNAN,b1111
,,17.6488,-1.#QNAN,b1111
,,17.6513,-1.#QNAN,b1111
,,17.6537,-1.#QNAN,b1111
,,17.6563,-1.#QNAN,b1111
,,17.6588,-1.#QNAN,b1111
,,17.6612,-1.#QNAN,b1111
,,17.6637,-1.#QNAN,b1111
,,17.6663,-1.#QNAN,b1111
,,17.6688,-1.#QNAN,b1111
,,17.6712,-1.#QNAN,b1111
,,17.6737,-1.#QNAN,b1111
,,17.6763,-1.#QNAN,b1111
,,17.6787,-1.#QNAN,b1111
,,17.6812,-1.#QNAN,b1111
,,17.6838,-1.#QNAN,b1111
,,17.6863,-1.#QNAN,b1111
,,17.6887,-1.#QNAN,b1111
,,17.6912,-1.#QNAN,b1111
,,17.6938,-1.#QNAN,b1111
,,17.6963,-1.#QNAN,b1111
,,17.6987,-1.#QNAN,b1111
,,17.7013,-1.#QNAN,b1111
,,17.7038,-1.#QNAN,b1111
,,17.7062,-1.#QNAN,b1111
,,17.7087,-1.#QNAN,b1111
,,17.7113,-1.#QNAN,b1111
,,17.7138,-1.#QNAN,b1111
,,17.7162,-1.#QNAN,b1111
,,17.7188,-1.#QNAN,b1111
,,17.7213,-1.#QNAN,b1111
,,17.7237,-1.#QNAN,b1111
,,17.7262,-1.#QNAN,b1111
,,17.7288,-1.#QNAN,b1111
,,17.7313,-1.#QNAN,b1111
,,17.7337,-1.#QNAN,b1111
,,17.7362,-1.#QNAN,b1111
,,17.7388,-1.#QNAN,b1111
,,17.7412,-1.#QNAN,b1111
,,17.7437,-1.#QNAN,b1111
,,17.7463,-1.#QNAN,b1111
,,17.7488,-1.#QNAN,b1111
,,17.7512,-1.#QNAN,b1111
,,17.7537,-1.#QNAN,b1111
,,17.7563,-1.#QNAN,b1111
,,17.7588,-1.#QNAN,b1111
,,17.7612,-1.#QNAN,b1111
,,17.7638,-1.#QNAN,b1111
,,17.7663,-1.#QNAN,b1111
,,17.7687,-1.#QNAN,b1111
,,17.7712,-1.#QNAN,b1111
,,17.7738,-1.#QNAN,b1111
,,17.7763,-1.#QNAN,b1111
,,17.7787,-1.#QNAN,b1111
,,17.7813,-1.#QNAN,b1111
,,17.7838,-1.#QNAN,b1111
,,17.7862,-1.#QNAN,b1111
,,17.7887,-1.#QNAN,b1111
,,17.7913,-1.#QNAN,b1111
,,17.7938,-1.#QNAN,b1111
,,17.7962,-1.#QNAN,b1111
,,17.7987,-1.#QNAN,b1111
,,17.8013,-1.#QNAN,b1111
,,17.8037,-1.#QNAN,b1111
,,17.8062,-1.#QNAN,b1111
,,17.8088,-1.#QNAN,b1111
,,17.8113,-1.#QNAN,b1111
,,17.8137,-1.#QNAN,b1111
,,17.8162,-1.#QNAN,b1111
,,17.8188,-1.#QNAN,b1111
,,17.8213,-1.#QNAN,b1111
,,17.8237,-1.#QNAN,b1111
,,17.8263,-1.#QNAN,b1111
,,17.8288,-1.#QNAN,b1111
,,17.8312,-1.#QNAN,b1111
,,17.8337,-1.#QNAN,b1111
,,17.8363,-1.#QNAN,b1111
,,17.8388,-1.#QNAN,b1111
,,17.8412,-1.#QNAN,b1111
,,17.8438,-1.#QNAN,b1111
,,17.8463,-1.#QNAN,b1111
,,17.8487,-1.#QNAN,b1111
,,17.8512,-1.#QNAN,b1111
,,17.8538,-1.#QNAN,b1111
,,17.8563,-1.#QNAN,b1111
,,17.8587,-1.#QNAN,b1111
,,17.8612,-1.#QNAN,b1111
,,17.8638,-1.#QNAN,b1111
,,17.8662,-1.#QNAN,b1111
,,17.8687,-1.#QNAN,b1111
,,17.8713,-1.#QNAN,b1111
,,17.8738,-1.#QNAN,b1111
,,17.8762,-1.#QNAN,b1111
,,17.8787,-1.#QNAN,b1111
,,17.8813,-1.#QNAN,b1111
,,17.8838,-1.#QNAN,b1111
,,17.8862,-1.#QNAN,b1111
,,17.8888,-1.#QNAN,b1111
,,17.8913,-1.#QNAN,b1111
,,17.8937,-1.#QNAN,b1111
,,17.8962,-1.#QNAN,b1111
,,17.8988,-1.#QNAN,b1111
,,17.9013,-1.#QNAN,b1111
,,17.9037,-1.#QNAN,b1111
,,17.9063,-1.#QNAN,b1111
,,17.9088,-1.#QNAN,b1111
,,17.9112,-1.#QNAN,b1111
,,17.9137,-1.#QNAN,b1111
,,17.9163,-1.#QNAN,b1111
,,17.9188,-1.#QNAN,b1111
,,17.9212,-1.#QNAN,b1111
,,17.9237,-1.#QNAN,b1111
,,17.9263,-1.#QNAN,b1111
,,17.9287,-1.#QNAN,b1111
,,17.9312,-1.#QNAN,b1111
,,17.9338,-1.#QNAN,b1111
,,17.9363,-1.#QNAN,b1111
,,17.9387,-1.#QNAN,b1111
,,17.9412,-1.#QNAN,b1111
,,17.9438,-1.#QNAN,b1111
,,17.9463,-1.#QNAN,b1111
,,17.9487,-1.#QNAN,b1111
,,17.9513,-1.#QNAN,b1111
,,17.9538,-1.#QNAN,b1111
,,17.9562,-1.#QNAN,b1111
,,17.9587,-1.#QNAN,b1111
,,17.9613,-1.#QNAN,b1111
,,17.9638,-1.#QNAN,b1111
,,17.9662,-1.#QNAN,b1111
